040000011PA               000004000000000001000006000000000002R    PP000000000000000412 C       
093139209TA               000004251000000001000004256000000001R    TT000000000027223810 C       
093139209TA               000004251000000001000004256000000002R    TT000000000027223910 C       
093139209NA               000004249000000002000004261000000007R    NN000000000027224000ACB     A
093139209NA               000004249000000001000004261000000007R    NN000000000027224100ACB     A
093139210NA               000004249000000001000004261000000007R    NN000000000027224300 C       
093139210NA               000004249000000001000004261000000006R    NN000000000027224500 C       
093139210KA               000004240000000002000004257000000001R    KK000000000027224600 C       
093139211NA               000004249000000001000004261000000007R    NN000000000027225000 C       
093139211DA               000004127000000001000004273000000008RFLOWDD000000000027225101AC      A
093139211NA               000004247000000003000004261000000007R    NN000000000027225200 C       
093139212TA               000004251000000001000004256000000003R    TT000000000027225310 C       
093139216NA               000004247000000003000004259000000001R    NN000000000027225600 C       
093139217NA               000004247000000003000004259000000002R    NN000000000027225700 C       
093139244NA               000004247000000003000004259000000003R    NN000000000027231600 C       
093139245NA               000004247000000003000004259000000004R    NN000000000027231800 C       
093139259ZA               000004240000000002000004260000000001R    ZZ000000000027233500 C       
093139289TA               000004251000000001000004256000000002R    TT000000000027234410 C       
093139289TA               000004251000000001000004256000000001R    TT000000000027234510 C       
093139294TA               000004249000000003000004256000000001R    TT000000000027234610 C       
093139295BA               000004238000000004000004261000000001R    BB000000000027234700 C       
093139295TA               000004249000000003000004255000000001R    TT000000000027234810 C       
093139295TA               000004249000000003000004255000000002R    TT000000000027234910 C       
093139295NA               000004247000000003000004258000000001R    NN000000000027235000 C       
093139295ZA               000004227000000002000004260000000001R    ZZ000000000027235100 C       
093139295PA               000004237000000001000004257000000002R    PP000000000027235200 C       
093139295TA               000004249000000003000004255000000003R    TT000000000027235310 C       
093139295TA               000004249000000003000004255000000004R    TT000000000027235410 C       
093139295PA               000004236000000002000004257000000002R    PP000000000027235500 C       
093139295KA               000004237000000001000004257000000001R    KK000000000027235600 C       
093139295KA               000004236000000001000004257000000001R    KK000000000027235700 C       
093139295NA               000004247000000003000004258000000002R    NN000000000027235800 C       
093139297ZA               000004227000000002000004266000000002R    ZZ000000000027236200 C       
093139298XA               000004243000000009000004276000000009R    XX000000000027236300 C       
093139298PA               000004236000000002000004257000000001R    PP000000000027236400 C       
093139298PA               000004236000000002000004259000000001R    PP000000000027236500 C       
093139299PA               000004236000000002000004261000000002R    PP000000000027236600 C       
093139304NA               000004247000000003000004258000000003R    NN000000000027238000 C       
093139307NA               000004247000000003000004257000000001R    NN000000000027238100 C       
093139307NA               000004247000000003000004257000000002R    NN000000000027238200 C       
093139333NA               000004247000000003000004257000000002R    NN000000000027239300ACB     A
093139335MA               000000000000000000000004274000000004R    MM000000000027239500 C       
093139337NA               000004247000000003000004257000000003R    NN000000000027239600ACB     A
093139341NA               000004244000000002000004257000000003R    NN000000000027239800ACB     A
093139341NA               000004244000000001000004257000000003R    NN000000000027239900ACB     A
093139385TA               000004249000000003000004255000000003R    TT000000000027245710 C       
093139385TA               000004249000000003000004255000000002R    TT000000000027245810 C       
093139385NA               000004245000000001000004257000000003R    NN000000000027245900ACB     A
093139386NA               000004245000000001000004257000000004R    NN000000000027246100ACB     A
093139386JA               000004242000000001000004255000000001R    JJ000000000027246200 C       
093139387TA               000004249000000003000004255000000003R    TT000000000027246310 C       
093139440TA               000004249000000003000004255000000002R    TT000000000027249510 C       
093139440TA               000004249000000002000004255000000002R    TT000000000027249610 C       
093139537NA               000004249000000002000004257000000004R    NN000000000027261300ACB     A
093139541NA               000004249000000002000004255000000001R    NN000000000027261600ACB     A
093139541TA               000004249000000002000004255000000004R    TT000000000027261760 C       
093139541NA               000004249000000002000004255000000002R    NN000000000027261860ACB     A
093139554NA               000004249000000002000004255000000003R    NN000000000027263400ACB     A
093139574YA               000004244000000006000004262000000003R    YY000000000027264700 C       
093139575NA               000004249000000002000004255000000002R    NN000000000027264900ACB     A
093139577YA               000004244000000006000004264000000006R    YY000000000027265000 C       
093139632ZA               000004227000000002000004259000000001R    ZZ000000000027270500 C       
093139632ZA               000004227000000002000004259000000002R    ZZ000000000027270600 C       
093139633BA               000004238000000004000004259000000001R    BB000000000027270700 C       
093139633BA               000004238000000004000004259000000002R    BB000000000027270800 C       
093139636ZA               000004227000000002000004258000000002R    ZZ000000000027272300 C       
093139636BA               000004238000000004000004258000000001R    BB000000000027272500 C       
093139729YA               000004249000000002000004264000000006R    YY000000000027279300 C       
093139729JA               000004249000000001000004255000000001R    JJ000000000027279400 C       
093139729YA               000004249000000003000004264000000006R    YY000000000027279560 C       
093139883TA               000004249000000001000004255000000004R    TT000000000027301300 C       
093139883YA               000004249000000002000004264000000006R    YY000000000027301460 C       
093139883JA               000004242000000001000004255000000001R    JJ000000000027301500 C       
093139960PA               000004236000000001000004261000000002R    PP000000000027304900 C       
093140002XA               000000000000000000000004276000000009R    XX000000000027307500 C       
093140003DA               000004238000000008000004273000000008RFLOWDD000000000027307601AC      A
093140013YA               000004244000000006000004264000000006R    YY000000000027308100 C       
093140013TA               000004246000000001000004255000000004R    TT000000000027308200 C       
093140014TA               000004246000000001000004254000000001R    TT000000000027308360 C       
093140014TA               000004246000000001000004254000000002R    TT000000000027308460 C       
093140014TA               000004246000000001000004254000000003R    TT000000000027308560 C       
093140014KA               000004235000000001000004257000000001R    KK000000000027308600 C       
093140014TA               000004244000000001000004254000000003R    TT000000000027308700 C       
093140014PA               000004235000000001000004261000000002R    PP000000000027308800 C       
093140014TA               000004244000000001000004254000000004R    TT000000000027308960 C       
093140014YA               000004244000000003000004264000000006R    YY000000000027309000 C       
093140014PA               000004235000000002000004261000000002R    PP000000000027309100 C       
093140014YA               000004238000000004000004264000000006R    YY000000000027309200 C       
093140014NA               000004244000000001000004255000000002R    NN000000000027309360ACB     A
093140014NA               000004244000000001000004255000000002R    NN000000000027309400 C       
093140014NA               000004244000000001000004255000000002R    NN000000000027309500ACB     A
093140015NA               000004244000000001000004255000000003R    NN000000000027309700ACB     A
093140015PA               000004235000000001000004261000000002R    PP000000000027309900 C       
093140015TA               000004244000000001000004253000000001R    TT000000000027310060 C       
093140015KA               000004234000000001000004257000000001R    KK000000000027310100 C       
093140015NA               000004244000000001000004255000000003R    NN000000000027310260 C       
093140015TA               000004244000000001000004253000000002R    TT000000000027310360 C       
093140015YA               000004238000000004000004264000000003R    YY000000000027310400 C       
093140015NA               000004244000000001000004255000000003R    NN000000000027310560ACA     A
093140015PA               000004234000000001000004261000000002R    PP000000000027310600 C       
093140015YA               000004238000000004000004267000000002R    YY000000000027310700ACB     A
093140015YA               000004238000000004000004260000000003R    YY000000000027310800 C       
093140015YA               000004238000000004000004260000000006R    YY000000000027310900 C       
093140015NA               000004244000000001000004255000000003R    NN000000000027311000ACC     A
093140015YA               000004238000000004000004260000000007R    YY000000000027311100 C       
093140015DA               000004238000000008000004256000000001RFLOWDD000000000027311201AC      A
093140015DA               000004238000000008000004252000000001RFLOWDD000000000027311341AC      A
093140016NA               000004242000000001000004255000000003R    NN000000000027311400ACC     A
093140016DA               000004238000000008000004256000000001RFLOWDD000000000027311561AC      A
093140016NA               000004242000000001000004255000000003R    NN000000000027311600ACB     A
093140016NA               000004242000000002000004255000000003R    NN000000000027311700ACB     A
093140017DA               000004238000000008000004273000000008RFLOWDD000000000027311801AC      A
093140023NA               000004242000000002000004254000000001R    NN000000000027312000ACB     A
093140025NA               000004242000000002000004254000000002R    NN000000000027312100ACB     A
093140053NA               000004242000000002000004254000000003R    NN000000000027313600ACB     A
093140053NA               000004242000000002000004254000000004R    NN000000000027313700ACB     A
093140105TA               000004244000000001000004253000000001R    TT000000000027317210 C       
093140105TA               000004244000000001000004254000000003R    TT000000000027317360 C       
093140105NA               000004242000000002000004254000000004R    NN000000000027317400 C       
093140105NA               000004242000000002000004254000000004R    NN000000000027317600ACB     A
093140141NA               000004243000000001000004254000000004R    NN000000000027320500ACB     A
093140141NA               000004243000000001000004254000000003R    NN000000000027320660ACB     A
093140141NA               000004243000000001000004254000000003R    NN000000000027320700ACC     A
093140141NA               000004243000000002000004254000000003R    NN000000000027320800ACC     A
093140141NA               000004243000000001000004254000000003R    NN000000000027320900ACC     A
093140142JA               000004229000000007000004255000000001R    JJ000000000027321000 C       
093140143PA               000004234000000001000004260000000001R    PP000000000027321200 C       
093140143PA               000004234000000001000004260000000002R    PP000000000027321300 C       
093140143NA               000004242000000001000004254000000003R    NN000000000027321400ACC     A
093140144NA               000004242000000001000004254000000003R    NN000000000027321500ACB     A
093140159TA               000004244000000001000004254000000002R    TT000000000027322160 C       
093140178NA               000004242000000001000004254000000004R    NN000000000027322260ACB     A
093140210KA               000004234000000001000004269000000001R    KK000000000027323500 C       
093140216KA               000004234000000001000004254000000001R    KK000000000027323800 C       
093140222NA               000004244000000001000004254000000004R    NN000000000027323900ACB     A
093140223NA               000004244000000002000004254000000004R    NN000000000027324110ACB     A
093140223NA               000004244000000002000004254000000004R    NN000000000027324200ACC     A
093140333DA               000004238000000008000004300000000012RFLOWDD000000000027336201AC      A
093140336NA               000004244000000003000004254000000004R    NN000000000027336710ACC     A
093140442MA               000004235000000004000004274000000004R    MM000000000027339900 C       
093140535YA               000004244000000001000004260000000007R    YY000000000027359500 C       
093140535YA               000004244000000002000004260000000007R    YY000000000027359600 C       
093140535JA               000004244000000001000004255000000001R    JJ000000000027359700 C       
093140552MA               000004235000000004000000000000000000R    MM000000000027362700 C       
093140761NA               000004244000000003000004254000000003R    NN000000000027429010ACC     A
093140761YA               000004244000000001000004260000000007R    YY000000000027429300 C       
093140761JA               000004229000000007000004255000000001R    JJ000000000027429600 C       
093140762BA               000004230000000001000004258000000001R    BB000000000027429900 C       
093140882XA               000004231000000009000004276000000009R    XX000000000027450800 C       
093140932PA               000004233000000001000004260000000002R    PP000000000027472100 C       
093140932KA               000004233000000001000004254000000001R    KK000000000027472200 C       
